x,y,z,yaw
-1.1367388708206906e-05,-3.127825521344243e-12,0.0,8.464710170487023e-07
-1.1367388889346722e-05,-3.127825674673905e-12,0.0,8.464710427021992e-07
-1.1367389070487411e-05,-3.127825828004321e-12,0.0,8.464710683450405e-07
-1.1367389251628993e-05,-3.127825981335493e-12,0.0,8.464710939772793e-07
-1.136738943277148e-05,-3.1278261346674337e-12,0.0,8.464711195990351e-07
-1.1367389613914871e-05,-3.1278262880001437e-12,0.0,8.464711452102061e-07
-1.1367389795059138e-05,-3.12782644133361e-12,0.0,8.464711708109612e-07
-1.136738997620432e-05,-3.1278265946678452e-12,0.0,8.464711964011193e-07
-1.1367390157350356e-05,-3.1278267480028045e-12,0.0,8.464712219808868e-07
-1.1367390338497273e-05,-3.127826901338531e-12,0.0,8.464712475500781e-07
-1.1367390519645067e-05,-3.127827054674995e-12,0.0,8.464712731089218e-07
-1.1367390700793761e-05,-3.1278272080122318e-12,0.0,8.464712986574031e-07
-1.1367390881943312e-05,-3.1278273613501916e-12,0.0,8.464713241954919e-07
-1.1367391063093713e-05,-3.1278275146888833e-12,0.0,8.464713497232184e-07
-1.1367391244245036e-05,-3.1278276680283464e-12,0.0,8.464713752406226e-07
-1.1367391425397232e-05,-3.12782782136856e-12,0.0,8.464714007476082e-07
-1.1367391606550259e-05,-3.1278279747094803e-12,0.0,8.464714262444463e-07
-1.1367391787704143e-05,-3.1278281280511265e-12,0.0,8.464714517310268e-07
-1.1367391968858914e-05,-3.1278282813935304e-12,0.0,8.464714772072282e-07
-1.1367392150014545e-05,-3.127828434736665e-12,0.0,8.464715026732906e-07
-1.1367392331171058e-05,-3.1278285880805576e-12,0.0,8.464715281291659e-07
-1.136739251232844e-05,-3.1278287414251785e-12,0.0,8.464715535748771e-07
-1.1367392693486659e-05,-3.1278288947705187e-12,0.0,8.464715790104661e-07
-1.1367392874645734e-05,-3.127829048116587e-12,0.0,8.464716044358565e-07
-1.1367393055805685e-05,-3.1278292014633984e-12,0.0,8.464716298511448e-07
-1.1367393236966486e-05,-3.1278293548109402e-12,0.0,8.464716552563875e-07
-1.1367393418128131e-05,-3.127829508159202e-12,0.0,8.464716806516238e-07
-1.1367393599290626e-05,-3.1278296615081876e-12,0.0,8.464717060368152e-07
-1.1367393780453979e-05,-3.1278298148579005e-12,0.0,8.464717314118436e-07
-1.1367393961618175e-05,-3.1278299682083294e-12,0.0,8.464717567769907e-07
-1.13673941427832e-05,-3.1278301215594756e-12,0.0,8.464717821321291e-07
-1.1367394323949068e-05,-3.127830274911337e-12,0.0,8.464718074772776e-07
-1.1367394505115753e-05,-3.1278304282638914e-12,0.0,8.464718328124533e-07
-1.1367394686283325e-05,-3.127830581617199e-12,0.0,8.464718581378152e-07
-1.1367394867451706e-05,-3.127830734971197e-12,0.0,8.464718834531368e-07
-1.13673950486209e-05,-3.1278308883258915e-12,0.0,8.46471908758613e-07
-1.1367395229790949e-05,-3.1278310416813093e-12,0.0,8.464719340542802e-07
-1.1367395410961813e-05,-3.127831195037413e-12,0.0,8.464719593400232e-07
-1.1367395592133515e-05,-3.1278313483942372e-12,0.0,8.464719846159525e-07
-1.1367395773306063e-05,-3.1278315017517873e-12,0.0,8.464720098821445e-07
-1.1367395954479407e-05,-3.127831655110015e-12,0.0,8.464720351384564e-07
-1.1367396135653587e-05,-3.127831808468949e-12,0.0,8.4647206038505e-07
-1.136739631682861e-05,-3.127831961828596e-12,0.0,8.464720856220047e-07
-1.136739649800443e-05,-3.127832115188927e-12,0.0,8.464721108493311e-07
-1.1367396679181051e-05,-3.1278322685499514e-12,0.0,8.464721360667867e-07
-1.13673968603585e-05,-3.1278324219116786e-12,0.0,8.464721612746511e-07
-1.1367397041536799e-05,-3.1278325752741283e-12,0.0,8.464721864729463e-07
-1.13673972227159e-05,-3.127832728637254e-12,0.0,8.464722116615149e-07
-1.1367397403895817e-05,-3.127832882001078e-12,0.0,8.464722368404979e-07
-1.136739758507653e-05,-3.1278330353655874e-12,0.0,8.464722620099012e-07
-1.1367397766258055e-05,-3.127833188730786e-12,0.0,8.464722871697554e-07
-1.1367397947440403e-05,-3.1278333420966927e-12,0.0,8.464723123217187e-07
-1.1367398128623537e-05,-3.1278334954632787e-12,0.0,8.464723374736054e-07
-1.136739830980747e-05,-3.1278336488305287e-12,0.0,8.46472362663998e-07
-1.136739849099224e-05,-3.1278338021984984e-12,0.0,8.464723879097836e-07
-1.136739867217781e-05,-3.1278339555671443e-12,0.0,8.464724133098852e-07
-1.136739885336419e-05,-3.1278341089364796e-12,0.0,8.464724388494757e-07
-1.1367399034551339e-05,-3.1278342623064814e-12,0.0,8.464724644860907e-07
-1.1367399215739303e-05,-3.127834415677163e-12,0.0,8.464724902697685e-07
-1.1367399396928067e-05,-3.1278345690485343e-12,0.0,8.464725161979298e-07
-1.1367399578117628e-05,-3.1278347224205785e-12,0.0,8.464725422194762e-07
-1.1367399759308006e-05,-3.1278348757933195e-12,0.0,8.464725683868886e-07
-1.1367399940499158e-05,-3.1278350291667362e-12,0.0,8.464725946977932e-07
-1.136740012169111e-05,-3.1278351825408194e-12,0.0,8.464726211009591e-07
-1.1367400302883855e-05,-3.1278353359155734e-12,0.0,8.464726476524006e-07
-1.1367400484077399e-05,-3.1278354892910128e-12,0.0,8.464726743425444e-07
-1.136740066527174e-05,-3.1278356426671356e-12,0.0,8.464727011224622e-07
-1.1367400846466857e-05,-3.1278357960439095e-12,0.0,8.464727280582483e-07
-1.1367401027662776e-05,-3.127835949421376e-12,0.0,8.464727551231311e-07
-1.1367401208859438e-05,-3.1278361027994832e-12,0.0,8.464727822753989e-07
-1.1367401390056915e-05,-3.1278362561782815e-12,0.0,8.464728095956957e-07
-1.1367401571255195e-05,-3.1278364095577574e-12,0.0,8.464728370317056e-07
-1.1367401752454219e-05,-3.1278365629378727e-12,0.0,8.46472864550476e-07
-1.1367401933654036e-05,-3.1278367163186565e-12,0.0,8.46472892255506e-07
-1.1367402114854641e-05,-3.127836869700108e-12,0.0,8.464729200556298e-07
-1.1367402296055953e-05,-3.1278370230821773e-12,0.0,8.464729479483006e-07
-1.136740247725808e-05,-3.1278371764649447e-12,0.0,8.464729760298856e-07
-1.1367402658460976e-05,-3.1278373298483566e-12,0.0,8.464730041918426e-07
-1.1367402839664627e-05,-3.1278374832324196e-12,0.0,8.464730324695321e-07
-1.1367403020869024e-05,-3.127837636617124e-12,0.0,8.464730609094003e-07
-1.1367403202074196e-05,-3.127837790002482e-12,0.0,8.464730894272455e-07
-1.1367403383280081e-05,-3.1278379433884558e-12,0.0,8.464731180902027e-07
-1.1367403564486778e-05,-3.1278380967751167e-12,0.0,8.464731468836481e-07
-1.1367403745694227e-05,-3.1278382501624165e-12,0.0,8.464731757516209e-07
-1.1367403926902407e-05,-3.1278384035503432e-12,0.0,8.464732048000938e-07
-1.1367404108111358e-05,-3.1278385569389287e-12,0.0,8.464732339413762e-07
-1.1367404289321052e-05,-3.127838710328151e-12,0.0,8.464732631779776e-07
-1.136740447053148e-05,-3.1278388637179975e-12,0.0,8.464732925914003e-07
-1.1367404651742666e-05,-3.12783901710849e-12,0.0,8.46473322078311e-07
-1.136740483295462e-05,-3.1278391704996347e-12,0.0,8.464733517007108e-07
-1.1367405014167303e-05,-3.1278393238914065e-12,0.0,8.464733814550187e-07
-1.1367405195380703e-05,-3.1278394772837906e-12,0.0,8.464734112804213e-07
-1.136740537659487e-05,-3.1278396306768306e-12,0.0,8.464734412890428e-07
-1.1367405557809762e-05,-3.1278397840704858e-12,0.0,8.464734713795148e-07
-1.1367405739025392e-05,-3.127839937464778e-12,0.0,8.464735015765268e-07
-1.1367405920241803e-05,-3.1278400908597372e-12,0.0,8.464735319311223e-07
-1.1367406101458937e-05,-3.1278402442552988e-12,0.0,8.464735623531352e-07
-1.1367406282676808e-05,-3.127840397651494e-12,0.0,8.46473592936592e-07
-1.1367406463895385e-05,-3.1278405510482988e-12,0.0,8.464736236217295e-07
-1.1367406645114696e-05,-3.1278407044457316e-12,0.0,8.464736543938041e-07
-1.1367406826334732e-05,-3.1278408578437937e-12,0.0,8.464736853407573e-07
-1.1367407007555515e-05,-3.127841011242483e-12,0.0,8.46473716350298e-07
-1.1367407188777023e-05,-3.1278411646417923e-12,0.0,8.464737475091701e-07
-1.1367407369999248e-05,-3.1278413180417027e-12,0.0,8.464737787759173e-07
-1.1367407551222193e-05,-3.1278414714422358e-12,0.0,8.464738101235906e-07
-1.1367407732445832e-05,-3.1278416248433727e-12,0.0,8.46473841647415e-07
-1.1367407913670191e-05,-3.1278417782451062e-12,0.0,8.46473873228045e-07
-1.1367408094895289e-05,-3.127841931647478e-12,0.0,8.464739049629232e-07
-1.1367408276121098e-05,-3.127842085050458e-12,0.0,8.464739367996912e-07
-1.1367408457347572e-05,-3.1278422384540125e-12,0.0,8.464739687236937e-07
-1.1367408638574779e-05,-3.1278423918581932e-12,0.0,8.464740008153046e-07
-1.1367408819802679e-05,-3.1278425452629624e-12,0.0,8.464740329588663e-07
-1.1367409001031293e-05,-3.1278426986683366e-12,0.0,8.464740652702287e-07
-1.1367409182260579e-05,-3.1278428520742904e-12,0.0,8.46474097664106e-07
-1.1367409363490598e-05,-3.1278430054808824e-12,0.0,8.464741301646979e-07
-1.136740954472135e-05,-3.127843158888087e-12,0.0,8.464741628078236e-07
-1.136740972595273e-05,-3.1278433122958363e-12,0.0,8.464741955003199e-07
-1.1367409907184826e-05,-3.127843465704199e-12,0.0,8.464742283888446e-07
-1.1367410088417649e-05,-3.127843619113174e-12,0.0,8.464742613270164e-07
-1.136741026965115e-05,-3.1278437725227365e-12,0.0,8.464742944050251e-07
-1.1367410450885356e-05,-3.1278439259329018e-12,0.0,8.46474327588908e-07
-1.1367410632120232e-05,-3.12784407934364e-12,0.0,8.46474360856777e-07
-1.1367410813355823e-05,-3.1278442327549804e-12,0.0,8.464743942838733e-07
-1.1367410994592068e-05,-3.127844386166885e-12,0.0,8.46474427754855e-07
-1.1367411175828999e-05,-3.1278445395793797e-12,0.0,8.464744614107548e-07
-1.1367411357066626e-05,-3.1278446929924684e-12,0.0,8.464744951202216e-07
-1.1367411538304963e-05,-3.127844846406157e-12,0.0,8.464745289660801e-07
-1.1367411719543974e-05,-3.1278449998204253e-12,0.0,8.464745629142767e-07
-1.136741190078365e-05,-3.1278451532352697e-12,0.0,8.464745969499464e-07
-1.1367412082024003e-05,-3.1278453066506936e-12,0.0,8.464746311368591e-07
-1.1367412263265001e-05,-3.1278454600666617e-12,0.0,8.464746653625638e-07
-1.1367412444506699e-05,-3.127845613483226e-12,0.0,8.464746997845111e-07
-1.1367412625749064e-05,-3.127845766900361e-12,0.0,8.464747342430454e-07
-1.1367412806992113e-05,-3.12784592031809e-12,0.0,8.464747688576142e-07
-1.1367412988235833e-05,-3.127846073736392e-12,0.0,8.464748035490062e-07
-1.1367413169480201e-05,-3.1278462271552454e-12,0.0,8.464748383538299e-07
-1.1367413350725221e-05,-3.1278463805746595e-12,0.0,8.464748732757225e-07
-1.1367413531970929e-05,-3.1278465339946693e-12,0.0,8.464749082709309e-07
-1.1367413713217276e-05,-3.127846687415223e-12,0.0,8.464749434208925e-07
-1.1367413894464273e-05,-3.1278468408363304e-12,0.0,8.464749786064465e-07
-1.1367414075711944e-05,-3.1278469942580185e-12,0.0,8.464750139859625e-07
-1.1367414256960262e-05,-3.1278471476802518e-12,0.0,8.464750493936616e-07
-1.1367414438209243e-05,-3.1278473011030505e-12,0.0,8.46475084968569e-07
-1.1367414619458885e-05,-3.127847454526421e-12,0.0,8.464751206010508e-07
-1.1367414800709168e-05,-3.1278476079503488e-12,0.0,8.464751563664726e-07
-1.1367414981960118e-05,-3.127847761374842e-12,0.0,8.464751922212538e-07
-1.1367415163211662e-05,-3.1278479147998515e-12,0.0,8.46475228177469e-07
-1.1367415344463886e-05,-3.12784806822544e-12,0.0,8.464752642534011e-07
-1.1367415525716774e-05,-3.1278482216515862e-12,0.0,8.464753004003798e-07
-1.1367415706970298e-05,-3.1278483750782798e-12,0.0,8.464753366963489e-07
-1.1367415888224473e-05,-3.127848528505531e-12,0.0,8.464753730342179e-07
-1.1367416069479312e-05,-3.1278486819333474e-12,0.0,8.464754095466686e-07
-1.136741625073476e-05,-3.1278488353616945e-12,0.0,8.464754460767626e-07
-1.1367416431990872e-05,-3.127848988790606e-12,0.0,8.464754829299996e-07
-1.1367416613247569e-05,-3.127849142220017e-12,0.0,8.464755198100428e-07
-1.1367416794504913e-05,-3.1278492956499766e-12,0.0,8.464755570778861e-07
