Latitude,Longitude
36.113139465889525,139.98104365441068
36.1131393270376,139.98104336073817
36.11313939163531,139.98104331163273
36.11313954037116,139.9810433209991
36.11313961261642,139.98104341693517
36.113139570859964,139.98104374756772
36.11313950880996,139.98104394426048
36.11313842354772,139.9810444115921
36.11313462859067,139.98104496959385
36.11312909168471,139.98104569956402
36.113122749498324,139.98104613157793
36.11311609414236,139.9810456735687
36.11310937502282,139.98104472516175
36.11310281501678,139.98104398315934
36.113096211240276,139.98104307759786
36.113089607509856,139.98104234078505
36.11308288125248,139.98104169018566
36.11307632276327,139.98104168302257
36.11306982020281,139.98104176939364
36.11306285057075,139.98104197426687
36.11305615874492,139.98104300517656
36.11304938871572,139.9810447852858
36.11304283327534,139.98104762437382
36.11303644234604,139.98105122146904
36.113032009819605,139.98105430872772
36.11303113338406,139.98105510431003
36.11303090171922,139.9810551667105
36.11303094055187,139.98105518801677
36.113030829215674,139.9810552267762
36.113030924002736,139.98105527956585
36.11303085385781,139.981055208446
36.11303088485562,139.9810553727366
36.113030872779994,139.9810553620316
36.11303087047812,139.98105550469765
36.113030812660625,139.9810555917111
36.11303102485296,139.98105586007463
36.11303098966153,139.9810558204673
36.11303097215228,139.98105607599413
36.113030853124954,139.98105599427853
36.11303093629869,139.98105594755157
36.11303094029797,139.98105605631517
36.11303078552908,139.98105628878398
36.11303079667205,139.9810562910034
36.1130309331122,139.981056359049
36.11303111645024,139.9810564978672
36.11303145213088,139.98105670466566
36.11303147774584,139.98105684601776
36.11303149433558,139.981056963866
36.1130314163344,139.98105680453216
36.11303153247673,139.9810569567474
36.11303157731237,139.98105705414778
36.11303168315638,139.98105707307607
36.11303167732814,139.98105713498586
36.11303172236594,139.98105751175362
36.11303189022768,139.9810572532771
36.113031972940604,139.98105718385133
36.11303212014709,139.981057033611
36.113032154383184,139.9810567731896
36.11303215940881,139.98105654652042
36.113032391933466,139.98105652699238
36.11303234817788,139.98105633787176
36.11303255832662,139.98105624425506
36.113032632396,139.98105608768606
36.113032643551385,139.9810554541336
36.11303284640691,139.98105538360116
36.11303323047339,139.98105549885398
36.11303328467352,139.98105549494247
36.11303328386099,139.9810554473047
36.11303355516567,139.98105542429286
36.11303374601316,139.9810553455477
36.11303376336059,139.9810553931335
36.11303378389171,139.98105539213665
36.11303382361813,139.98105540548704
36.1130338618526,139.98105552326925
36.11303381365532,139.98105553220668
36.113033684057314,139.98105497954901
36.113033786496985,139.98105476094358
36.11303360839563,139.98105446383332
36.113033694910044,139.9810543945845
36.11303377505538,139.9810543842879
36.11303373477862,139.98105440344145
36.113033701308915,139.98105436189235
36.11303357716508,139.9810542019477
36.11303342582897,139.9810542542257
36.113033378520676,139.9810543500198
36.11303323396518,139.98105424463637
36.113033074963646,139.9810540095898
36.113032687477244,139.9810540800283
36.113032636956106,139.9810542501511
36.11303241179518,139.9810538573139
